Start Fitness,End Fitness,Class 0 Accuracy (%),Class 1 Accuracy (%),Overall Accuracy (%)
140.3603422,2.23E+29,2.554744526,98.65771812,36.40661939
261.1909302,2.36E+22,0,100,35.22458629
5238.988465,9.45E+34,0,100,35.22458629
2115.635874,1.15E+27,2.919708029,99.32885906,36.87943262
863.8818326,1.93E+33,2.554744526,99.32885906,36.643026
244.5980274,1.02E+21,7.299270073,97.31543624,39.0070922
828.6038313,2.39E+22,3.649635036,97.98657718,36.87943262
1570.331103,7.99E+19,2.919708029,99.32885906,36.87943262
82.20323208,8.33E+29,2.189781022,99.32885906,36.40661939
840.0631085,2.67E+52,1.459854015,100,36.17021277
1190.419184,8.21E+24,5.474452555,96.6442953,37.58865248
78.01388407,3.26E+32,0,100,35.22458629
41.75872099,4.11E+26,0,100,35.22458629
36254.35614,9.83E+31,0,100,35.22458629
2732.439821,1.74E+34,1.459854015,100,36.17021277
3197.99812,9.92E+34,0,100,35.22458629
8458.91708,2.69E+17,7.299270073,97.31543624,39.0070922
682.2462884,1.28E+33,2.189781022,99.32885906,36.40661939
2761.597511,2.23E+30,2.554744526,99.32885906,36.643026
74.44834418,1.57E+20,0,100,35.22458629
261.1878764,3.05E+31,2.189781022,97.31543624,35.69739953
152.5942727,1.26E+22,2.919708029,99.32885906,36.87943262
1209.075764,3.13E+20,9.124087591,97.98657718,40.42553191
2732.325112,2.38E+30,2.554744526,97.31543624,35.93380615
2672.37503,6.99E+29,2.554744526,98.65771812,36.40661939
295.112986,4.27E+38,0,100,35.22458629
753.0232754,1.81E+33,0,100,35.22458629
295.1372311,3.34E+13,9.124087591,97.31543624,40.1891253
310.7863133,1.99E+29,5.474452555,96.6442953,37.58865248
152.5666299,1.20E+31,0,100,35.22458629
841.5081097,3.05E+31,0,100,35.22458629
2593.962644,4.55E+31,0,100,35.22458629
262.2205207,1.04E+26,2.554744526,100,36.87943262
27342.47432,2.97E+36,1.459854015,100,36.17021277
262.7256075,1.88E+29,2.919708029,99.32885906,36.87943262
991.2752376,3.27E+33,2.554744526,98.65771812,36.40661939
1602.501046,2.04E+29,3.284671533,99.32885906,37.11583924
835.2434387,3.04E+26,1.824817518,98.65771812,35.93380615
1488.871423,2.67E+21,8.02919708,97.31543624,39.47990544
21.30962136,1.30E+27,0,100,35.22458629
2777.912862,3.40E+22,0.729927007,100,35.69739953
271.0498008,1.58E+32,1.459854015,100,36.17021277
57.13549319,4.74E+28,5.109489051,97.31543624,37.58865248
210.8810735,1.10E+29,1.824817518,99.32885906,36.17021277
292.0423612,4.53E+32,1.459854015,98.65771812,35.69739953
181.4190755,4.15E+28,0,100,35.22458629
262.7030219,2.07E+31,1.459854015,100,36.17021277
364.5129246,5.48E+24,1.459854015,100,36.17021277
261.5492516,3.58E+33,1.459854015,99.32885906,35.93380615
1180.28082,1.47E+32,0,100,35.22458629
94.35126279,5.77E+26,5.109489051,97.98657718,37.8250591
2721.634188,3.41E+24,5.109489051,98.65771812,38.06146572
195.3149178,5.11E+29,0,100,35.22458629
262.7552781,2.07E+25,1.459854015,99.32885906,35.93380615
59.58710554,1.64E+25,0,100,35.22458629
851.5195573,1.60E+20,4.744525547,97.31543624,37.35224586
2061.745227,3.59E+18,0,100,35.22458629
1073.826197,3.69E+28,1.459854015,100,36.17021277
224.1803823,1.23E+28,0,100,35.22458629
9283.843175,5.50E+36,1.459854015,100,36.17021277
195.3149178,1.35E+18,4.379562044,97.98657718,37.35224586
778.4263926,4.04E+28,3.649635036,97.98657718,36.87943262
82.33405834,5.32E+25,0,100,35.22458629
3879.843098,1.95E+31,1.459854015,100,36.17021277
315.6292363,4.55E+28,0,100,35.22458629
110.6765245,9.50E+29,2.554744526,98.65771812,36.40661939
262.760489,1.14E+25,0,100,35.22458629
82.83113831,3.30E+28,1.459854015,100,36.17021277
306.8797373,2.50E+26,2.919708029,100,37.11583924
133.5624462,2.77E+23,0,100,35.22458629
9665.378615,1.38E+21,0,100,35.22458629
2647.609651,7.14E+28,2.554744526,100,36.87943262
261.171305,3.77E+25,0,100,35.22458629
260.362333,2.00E+33,1.459854015,100,36.17021277
2182.510292,1.29E+40,2.554744526,99.32885906,36.643026
864.4005879,8.68E+35,0,100,35.22458629
848.2837757,1.35E+22,6.934306569,98.65771812,39.24349882
104.1549837,7.36E+28,2.189781022,99.32885906,36.40661939
8458.941746,3.41E+25,3.284671533,98.65771812,36.87943262
263.1419771,3.42E+30,0,100,35.22458629
102.6173521,2.66E+20,5.839416058,96.6442953,37.8250591
825.4499449,1.62E+28,5.474452555,95.30201342,37.11583924
1815.246154,7.69E+31,0,100,35.22458629
94.35126538,2.55E+25,0,100,35.22458629
281.6541767,2.02E+29,6.204379562,96.6442953,38.06146572
13435.0867,3.46E+30,2.554744526,99.32885906,36.643026
1081.143619,1.68E+26,1.459854015,99.32885906,35.93380615
84.04853913,4.71E+22,7.299270073,95.30201342,38.29787234
1471.34097,1.58E+23,0,100,35.22458629
575.9536381,5.89E+33,5.839416058,96.6442953,37.8250591
257.0183576,2.48E+16,0,100,35.22458629
83.90230842,8.14E+30,3.284671533,100,37.35224586
125.7837863,1.05E+24,2.919708029,100,37.11583924
8949.757126,1.41E+32,0,100,35.22458629
261.1909302,1.61E+35,0.364963504,100,35.46099291
4686.586073,3.01E+30,1.824817518,99.32885906,36.17021277
515.0491189,1.07E+25,0,100,35.22458629
1261.212329,2.65E+25,2.554744526,98.65771812,36.40661939
2865.698185,2.09E+22,1.459854015,100,36.17021277
825.5962293,1.72E+29,0.729927007,100,35.69739953
